set 15,10,55,20,30,-30,1
move 0,0
move 2,-1
move 0,0
move 1,-3
move 0,0
move 0,0
move 1,2
move 0,0
move 0,0
move 1,0
changemode 2
move 0,0
move 0,0
move 0,3
move 0,0
goback 1
changespeed 40,40
move 0,0
move 0,0
move 0,0
move 0,0
move -9,0
move 0,0
move 0,0
move 0,0
goback 2
changespeed -45,45
changemode 1
move 0,0
move -3,0
move 0,0
move -2,5
move 0,0
move 0,0
move 0,0
move 0,0
move 0,0
move -4,0
move 0,0
move 0,0
move 0,1
move 0,0
move 0,1
move 0,0
move 1,1
move 0,0
move 1,0
move 0,0
move 0,0
changemode 2
move -1,0
move 0,0
move 0,2
move 0,0
move 0,0
changespeed 50,-50
move -4,0
move 0,0
move 0,1
move 0,1
move 0,0
move 0,0
move 0,0
move -1,0
move 0,0
move 0,0
move 0,0
